// All unique phrases extracted from story-chunks + pattern-examples
// Format: phrase | type

a bit ahead                                        | chunk
Where do you see                                   | chunk
Where do you see yourself                          | chunk
Where do you usually                               | chunk
Where does                                         | chunk
Where were you when                                | chunk
whether                                            | chunk
while browsing the store                           | chunk
while grocery shopping                             | chunk
while I go to                                      | chunk
Who came up with                                   | chunk
Who do you think                                   | chunk
Who told you                                       | chunk
Who's going to                                     | chunk
who's taking the lead                              | chunk
Why didn't you just                                | chunk
Why do you think                                   | chunk
Why does it bother you that                        | chunk
Why don't I                                        | chunk
Why don't we                                       | chunk
Why don't you                                      | chunk
Why haven't you                                    | chunk
why she left                                       | chunk
Why would you                                      | chunk
Will you                                           | chunk
willing to fix                                     | chunk
without any fuss                                   | chunk
without anyone finding out                         | chunk
without offending anyone                           | chunk
won't allow it                                     | chunk
worked all night                                   | chunk
working from home                                  | chunk
Working nights every week                          | chunk
working nonstop                                    | chunk
workload                                           | chunk
works for me                                       | chunk
worst that could happen                            | chunk
worth checking out                                 | chunk
worth giving it a shot                             | chunk
worth giving it a try                              | chunk
worth putting in the extra effort                  | chunk
worth trying                                       | chunk
Would it be                                        | chunk
Would you                                          | chunk
Would you mind                                     | chunk
written confirmation                               | chunk
You could have                                     | chunk
You have to                                        | chunk
You might want to                                  | chunk
You should                                         | chunk
You should have                                    | chunk
you're upset                                       | chunk
your own happiness                                 | chunk
a beautiful sunrise                                | collocation
a brilliant solution                               | collocation
a compromise                                       | collocation
a fair chance                                      | collocation
a great opportunity                                | collocation
a lot of changes                                   | collocation
a recurring dream                                  | collocation
a whole week                                       | collocation
a whole year                                       | collocation
above expectations                                 | collocation
absolutely right                                   | collocation
action items                                       | collocation
acts of kindness                                   | collocation
adapted to                                         | collocation
an improvement over                                | collocation
an interesting point                               | collocation
anniversary trip                                   | collocation
announce the results                               | collocation
argument with management                           | collocation
assessment of the situation                        | collocation
backup plan                                        | collocation
be realistic about                                 | collocation
be resolved through                                | collocation
behind schedule                                    | collocation
being upfront                                      | collocation
betrayed your trust                                | collocation
better communication                               | collocation
boosts productivity                                | collocation
break a habit                                      | collocation
breakdown of their relationship                    | collocation
Breaking a bad habit                               | collocation
broke the habit                                    | collocation
broke the record                                   | collocation
brush your teeth                                   | collocation
budget constraints                                 | collocation
build a habit                                      | collocation
builds trust                                       | collocation
calm under pressure                                | collocation
casual event                                       | collocation
catch the game                                     | collocation
change your mind                                   | collocation
check my phone                                     | collocation
cherry blossom season                              | collocation
constant pressure                                  | collocation
cost of living                                     | collocation
cover all the expenses                             | collocation
cover the shift                                    | collocation
covering my shift                                  | collocation
critical thinking                                  | collocation
cut costs                                          | collocation
data breach                                        | collocation
decided to                                         | collocation
decided to quit                                    | collocation
deep breath                                        | collocation
different priorities                               | collocation
difficult phase                                    | collocation
difficult relationship                             | collocation
digital marketing                                  | collocation
draft ready                                        | collocation
easy to                                            | collocation
entrance exam                                      | collocation
environmental damage                               | collocation
every night                                        | collocation
exceeded our expectations                          | collocation
exclusive member perks                             | collocation
extra costs                                        | collocation
face the consequences                              | collocation
facing setbacks                                    | collocation
far-fetched                                        | collocation
fear of public speaking                            | collocation
feel better                                        | collocation
feel heard                                         | collocation
feel the energy                                    | collocation
feel valued                                        | collocation
feeling overwhelmed                                | collocation
fell silent                                        | collocation
felt tired                                         | collocation
final offer                                        | collocation
finish that report                                 | collocation
first impression                                   | collocation
first impressions                                  | collocation
first-generation college student                   | collocation
fitting room                                       | collocation
free for                                           | collocation
free returns                                       | collocation
fresh perspective                                  | collocation
fresh start                                        | collocation
frustration about                                  | collocation
full picture                                       | collocation
fully satisfied                                    | collocation
gender inequality                                  | collocation
gender pay gap                                     | collocation
get lost                                           | collocation
get ready                                          | collocation
get started                                        | collocation
getting sidetracked                                | collocation
getting the job                                    | collocation
goes smoothly                                      | collocation
goes wrong                                         | collocation
good deal                                          | collocation
Good job                                           | collocation
good reason                                        | collocation
good to                                            | collocation
got lost                                           | collocation
gotten soaked                                      | collocation
great benefits                                     | collocation
great leaders                                      | collocation
grew up in poverty                                 | collocation
group chat                                         | collocation
habits form                                        | collocation
had time                                           | collocation
handle the situation                               | collocation
handled that situation                             | collocation
happy to                                           | collocation
happy to help                                      | collocation
happy with                                         | collocation
hard to rebuild                                    | collocation
has to                                             | collocation
have a big presentation                            | collocation
have a feeling                                     | collocation
have experience                                    | collocation
have time                                          | collocation
have to                                            | collocation
her invitation                                     | collocation
hold the annual meeting                            | collocation
hold the door                                      | collocation
house special                                      | collocation
I'll let you know                                  | collocation
icebreaker game                                    | collocation
increased sharply                                  | collocation
invested heavily in                                | collocation
job interview                                      | collocation
job offer                                          | collocation
keep in touch                                      | collocation
kept going                                         | collocation
known for                                          | collocation
leaked the information                             | collocation
learning experience                                | collocation
log in to                                          | collocation
long time                                          | collocation
long trip                                          | collocation
looks simple                                       | collocation
lose focus                                         | collocation
lost hope                                          | collocation
loyalty to                                         | collocation
made a funny face                                  | collocation
made a mistake                                     | collocation
main points                                        | collocation
majoring in                                        | collocation
make a decision                                    | collocation
make a reservation                                 | collocation
making the same mistakes                           | collocation
marketing budget                                   | collocation
meant it                                           | collocation
miss it                                            | collocation
miss the deadline                                  | collocation
missed the last bus                                | collocation
missed the last train                              | collocation
mixed feelings                                     | collocation
mutual respect                                     | collocation
nearest subway station                             | collocation
need to                                            | collocation
needed to                                          | collocation
needs to                                           | collocation
new coworkers                                      | collocation
new faces                                          | collocation
new hire                                           | collocation
new mornings                                       | collocation
new place                                          | collocation
new start                                          | collocation
New streets                                        | collocation
new tracking                                       | collocation
noisy office                                       | collocation
official announcement                              | collocation
old friend                                         | collocation
open dialogue                                      | collocation
ordering takeout                                   | collocation
out loud                                           | collocation
outcome of the match                               | collocation
outdoor event                                      | collocation
outstanding presentation                           | collocation
outweighs the reward                               | collocation
overseas market                                    | collocation
overwhelmingly positive                            | collocation
passionate about                                   | collocation
paying attention                                   | collocation
peer pressure                                      | collocation
plan B                                             | collocation
postponed the launch                               | collocation
prefer stability over uncertainty                  | collocation
pretty straightforward                             | collocation
pretty successful                                  | collocation
printer ink                                        | collocation
proceed with caution                               | collocation
project schedule                                   | collocation
pulled up a chair                                  | collocation
quality of their work                              | collocation
rainy days                                         | collocation
rarely enforced                                    | collocation
reach me                                           | collocation
reading assignments                                | collocation
real boost                                         | collocation
real confidence                                    | collocation
real story                                         | collocation
reduces costs                                      | collocation
refers to                                          | collocation
remote work                                        | collocation
rent payments                                      | collocation
repairing trust                                    | collocation
reschedule the call                                | collocation
right answer                                       | collocation
rough day                                          | collocation
rough patch                                        | collocation
said that worked                                   | collocation
save time                                          | collocation
save us a table                                    | collocation
saved me                                           | collocation
saves money                                        | collocation
second chance                                      | collocation
second opinion                                     | collocation
seemed to                                          | collocation
seems off                                          | collocation
serious conversation                               | collocation
serious flaws                                      | collocation
several errors                                     | collocation
shows a lot of maturity                            | collocation
sign-up process                                    | collocation
signing bonus                                      | collocation
signs the form                                     | collocation
skips breakfast                                    | collocation
slow internet connection                           | collocation
small business                                     | collocation
small businesses                                   | collocation
small kindness                                     | collocation
small talk                                         | collocation
social events                                      | collocation
social life                                        | collocation
sounds fishy                                       | collocation
split the bill                                     | collocation
started to                                         | collocation
stay calm                                          | collocation
stay positive                                      | collocation
stayed calm                                        | collocation
stayed quiet                                       | collocation
staying late                                       | collocation
struggles with depression                          | collocation
study abroad                                       | collocation
supposed to                                        | collocation
take a break                                       | collocation
take a breath                                      | collocation
take a deep breath                                 | collocation
take a look                                        | collocation
take a look at                                     | collocation
take a walk                                        | collocation
take it easy                                       | collocation
takes real effort                                  | collocation
taking a cab                                       | collocation
taking applications                                | collocation
team setting                                       | collocation
tend to                                            | collocation
terrified of                                       | collocation
the business trip                                  | collocation
things have been crazy                             | collocation
thought process                                    | collocation
too anxious about                                  | collocation
too stubborn                                       | collocation
took a breath                                      | collocation
took full responsibility                           | collocation
total accident                                     | collocation
tough call                                         | collocation
tough time                                         | collocation
toxic relationship                                 | collocation
track record                                       | collocation
traffic is terrible                                | collocation
travel arrangements                                | collocation
treat people                                       | collocation
tried to                                           | collocation
under a lot of pressure                            | collocation
underprivileged communities                        | collocation
unfair policy                                      | collocation
unfairly criticized                                | collocation
use the restroom                                   | collocation
values transparency                                | collocation
victims of the disaster                            | collocation
walk me through                                    | collocation
walked me through                                  | collocation
want to                                            | collocation
wanted to                                          | collocation
warm smile                                         | collocation
warning signs                                      | collocation
went smoothly                                      | collocation
win-win situation                                  | collocation
work together                                      | collocation
worked overtime                                    | collocation
working long hours                                 | collocation
working overtime                                   | collocation
workplace safety                                   | collocation
works incredibly hard                              | collocation
worthwhile experience                              | collocation
your patience                                      | collocation
your place                                         | collocation
a matter of                                        | fixedExpression
a quick break                                      | fixedExpression
a real boost                                       | fixedExpression
a slow lap                                         | fixedExpression
a total mess                                       | fixedExpression
Above all                                          | fixedExpression
acting up again                                    | fixedExpression
All I know is                                      | fixedExpression
All I want is                                      | fixedExpression
All I'm saying is                                  | fixedExpression
All it takes is                                    | fixedExpression
All things considered                              | fixedExpression
All you have to do is                              | fixedExpression
apologize for the wait                             | fixedExpression
As a consequence                                   | fixedExpression
As a result                                        | fixedExpression
At the end of the day                              | fixedExpression
beat the rush                                      | fixedExpression
Believe it or not                                  | fixedExpression
big time                                           | fixedExpression
break bad news to                                  | fixedExpression
break the news to                                  | fixedExpression
broke the news to                                  | fixedExpression
By and large                                       | fixedExpression
By the way                                         | fixedExpression
came to the conclusion                             | fixedExpression
classic restart                                    | fixedExpression
clause by clause                                   | fixedExpression
Come to think of it                                | fixedExpression
count me in                                        | fixedExpression
dinner's on me                                     | fixedExpression
do it again soon                                   | fixedExpression
do the dishes                                      | fixedExpression
Don't be so hard on yourself                       | fixedExpression
Don't get me started on                            | fixedExpression
Don't get me wrong                                 | fixedExpression
Don't jump to conclusions                          | fixedExpression
don't push it                                      | fixedExpression
drives me crazy                                    | fixedExpression
either way                                         | fixedExpression
end of the day                                     | fixedExpression
Even so                                            | fixedExpression
Fair enough                                        | fixedExpression
first thing in the morning                         | fixedExpression
for the first time                                 | fixedExpression
For the most part                                  | fixedExpression
For what it's worth                                | fixedExpression
From the look of it                                | fixedExpression
Generally speaking                                 | fixedExpression
Give it a rest                                     | fixedExpression
Give me a second                                   | fixedExpression
glad to                                            | fixedExpression
go according to plan                               | fixedExpression
had a dream about                                  | fixedExpression
had no choice but to                               | fixedExpression
have a point there                                 | fixedExpression
have no idea                                       | fixedExpression
Having said that                                   | fixedExpression
help yourself to                                   | fixedExpression
hit the spot                                       | fixedExpression
hit the targets                                    | fixedExpression
Hold on a second                                   | fixedExpression
I beg to differ                                    | fixedExpression
I had no choice but to                             | fixedExpression
I have experience in                               | fixedExpression
I hear you                                         | fixedExpression
I never thought of it that way                     | fixedExpression
I owe you an apology                               | fixedExpression
I owe you one                                      | fixedExpression
I see it differently                               | fixedExpression
I see your point                                   | fixedExpression
I stand corrected                                  | fixedExpression
I won't be able to make it                         | fixedExpression
I'll catch you later                               | fixedExpression
I'll keep you posted                               | fixedExpression
I'm behind on                                      | fixedExpression
I'm confident that I can                           | fixedExpression
I'm free anytime                                   | fixedExpression
I'm here for you                                   | fixedExpression
I'm lost                                           | fixedExpression
I'm on it                                          | fixedExpression
I'm swamped with                                   | fixedExpression
If anything                                        | fixedExpression
If anything else                                   | fixedExpression
if I were you                                      | fixedExpression
if I'm being honest                                | fixedExpression
In most cases                                      | fixedExpression
In my opinion                                      | fixedExpression
in the first place                                 | fixedExpression
In the long run                                    | fixedExpression
is everything okay                                 | fixedExpression
Is there a good place                              | fixedExpression
Is there anything else                             | fixedExpression
is this seat taken                                 | fixedExpression
It goes without saying that                        | fixedExpression
It makes sense                                     | fixedExpression
it's a long story                                  | fixedExpression
it's a matter of                                   | fixedExpression
It's been ages                                     | fixedExpression
it's just that                                     | fixedExpression
it's not a big deal                                | fixedExpression
It's not as if                                     | fixedExpression
It's not letting                                   | fixedExpression
It's not like                                      | fixedExpression
It's not that                                      | fixedExpression
it's not what you think                            | fixedExpression
it's up to you                                     | fixedExpression
Just a quick note                                  | fixedExpression
just my luck                                       | fixedExpression
Just so you know                                   | fixedExpression
Just to confirm                                    | fixedExpression
keep in touch with                                 | fixedExpression
Keep it up                                         | fixedExpression
keep the change                                    | fixedExpression
Keep this between us                               | fixedExpression
keep this information to yourself                  | fixedExpression
Keep this to yourself                              | fixedExpression
Keep up the great work                             | fixedExpression
kept her feelings to herself                       | fixedExpression
Knock it off                                       | fixedExpression
Leave it to me                                     | fixedExpression
let alone                                          | fixedExpression
Let me help you                                    | fixedExpression
let's actually compare                             | fixedExpression
Let's not turn this into                           | fixedExpression
let's put this behind                              | fixedExpression
Long story short                                   | fixedExpression
lost track of time                                 | fixedExpression
made the most of                                   | fixedExpression
make plans for                                     | fixedExpression
make the most of                                   | fixedExpression
makes sense                                        | fixedExpression
might as well                                      | fixedExpression
More often than not                                | fixedExpression
my bad                                             | fixedExpression
Never mind                                         | fixedExpression
No matter how                                      | fixedExpression
no matter what                                     | fixedExpression
no point in                                        | fixedExpression
Not necessarily                                    | fixedExpression
Not to mention                                     | fixedExpression
nothing else to do                                 | fixedExpression
nothing to do with                                 | fixedExpression
Of course                                          | fixedExpression
off your plate                                     | fixedExpression
on and off                                         | fixedExpression
On second thought                                  | fixedExpression
On the one hand                                    | fixedExpression
on the other hand                                  | fixedExpression
on the same page                                   | fixedExpression
On the whole                                       | fixedExpression
On top of that                                     | fixedExpression
once-in-a-lifetime                                 | fixedExpression
one more time                                      | fixedExpression
one of those days                                  | fixedExpression
out of the question                                | fixedExpression
Please find the                                    | fixedExpression
Pull yourself together                             | fixedExpression
pulled herself together                            | fixedExpression
push it                                            | fixedExpression
right about now                                    | fixedExpression
right on time                                      | fixedExpression
sees it differently                                | fixedExpression
sooner or later                                    | fixedExpression
Sorry for the late reply                           | fixedExpression
staying calm under pressure                        | fixedExpression
suit yourself                                      | fixedExpression
take care                                          | fixedExpression
take his time                                      | fixedExpression
take this opportunity to                           | fixedExpression
Thanks for your patience                           | fixedExpression
That being said                                    | fixedExpression
That makes sense                                   | fixedExpression
That said                                          | fixedExpression
That sounds great                                  | fixedExpression
That's not entirely true                           | fixedExpression
That's the reason why                              | fixedExpression
the better                                         | fixedExpression
the fact that                                      | fixedExpression
The last thing I want                              | fixedExpression
The more                                           | fixedExpression
the offer still stands                             | fixedExpression
The only thing that matters                        | fixedExpression
The problem with                                   | fixedExpression
the sooner, the better                             | fixedExpression
The thing about                                    | fixedExpression
The thing is                                       | fixedExpression
The way I see it                                   | fixedExpression
The way things are going                           | fixedExpression
there's more to it than that                       | fixedExpression
There's no harm in                                 | fixedExpression
There's no need to                                 | fixedExpression
There's no way                                     | fixedExpression
There's nothing                                    | fixedExpression
There's nothing wrong with                         | fixedExpression
There's something about                            | fixedExpression
Therefore                                          | fixedExpression
This was lovely                                    | fixedExpression
To be fair                                         | fixedExpression
To be honest                                       | fixedExpression
To be precise                                      | fixedExpression
To put it another way                              | fixedExpression
To put it simply                                   | fixedExpression
To sum up                                          | fixedExpression
touch base with                                    | fixedExpression
try again next week                                | fixedExpression
up for negotiation                                 | fixedExpression
want a word with                                   | fixedExpression
was on it                                          | fixedExpression
Way to go                                          | fixedExpression
we have a deal                                     | fixedExpression
Welcome to our café                                | fixedExpression
What's more                                        | fixedExpression
Whatever happens                                   | fixedExpression
Wherever you go                                    | fixedExpression
which is why                                       | fixedExpression
Who did you hear that from                         | fixedExpression
Whoever you ask                                    | fixedExpression
With all due respect                               | fixedExpression
With respect                                       | fixedExpression
You can say that again                             | fixedExpression
You can't always                                   | fixedExpression
you crushed it                                     | fixedExpression
You did a great job                                | fixedExpression
You don't have to                                  | fixedExpression
You don't need to                                  | fixedExpression
You had better                                     | fixedExpression
You have a point                                   | fixedExpression
You might as well                                  | fixedExpression
You never know                                     | fixedExpression
You'd be better off                                | fixedExpression
You'd be surprised                                 | fixedExpression
a fresh coat of paint                              | idiom
a fresh start                                      | idiom
a great deal                                       | idiom
a hand                                             | idiom
a long shot                                        | idiom
a lot on her plate                                 | idiom
a lot on his plate                                 | idiom
a lot on my plate                                  | idiom
aced the exam                                      | idiom
aced the interview                                 | idiom
all along                                          | idiom
another story                                      | idiom
at a loss for                                      | idiom
at a loss for words                                | idiom
at face value                                      | idiom
at home                                            | idiom
at home abroad                                     | idiom
at the last minute                                 | idiom
beating around the bush                            | idiom
behind my back                                     | idiom
better to be safe than sorry                       | idiom
big picture                                        | idiom
bit off more than I can chew                       | idiom
bit off more than we can chew                      | idiom
bite the bullet                                    | idiom
blew it                                            | idiom
blew my mind                                       | idiom
blind date                                         | idiom
break even                                         | idiom
break the ice                                      | idiom
break the news                                     | idiom
broke even                                         | idiom
burned his bridges                                 | idiom
burned out                                         | idiom
burning bridges                                    | idiom
burst into tears                                   | idiom
by heart                                           | idiom
call it a day                                      | idiom
calling it a day                                   | idiom
caused a scene                                     | idiom
changed his mind                                   | idiom
choosing your battles                              | idiom
clear my head                                      | idiom
cleared the air                                    | idiom
comes at a price                                   | idiom
cover for me                                       | idiom
crossed the finish line                            | idiom
cut corners                                        | idiom
cut him some slack                                 | idiom
cut it                                             | idiom
Cut me some slack                                  | idiom
cutting corners                                    | idiom
do more with less                                  | idiom
done in no time                                    | idiom
drives her crazy                                   | idiom
easier said than done                              | idiom
face the music                                     | idiom
fall into place                                    | idiom
feels like home                                    | idiom
flipping a switch                                  | idiom
from scratch                                       | idiom
from square one                                    | idiom
gave him a wake-up call                            | idiom
gave it my best shot                               | idiom
gave me a hand with                                | idiom
gave me a wake-up call                             | idiom
gave you the heads up                              | idiom
Get a grip                                         | idiom
get back on track                                  | idiom
get carried away                                   | idiom
get his foot in the door                           | idiom
get in the way of                                  | idiom
get out of hand                                    | idiom
get the hang of it                                 | idiom
get their act together                             | idiom
get to the bottom of                               | idiom
get your act together                              | idiom
getting in the way of                              | idiom
getting old                                        | idiom
getting on my nerves                               | idiom
getting out of hand                                | idiom
getting the hang of                                | idiom
getting yourself into                              | idiom
give it a shot                                     | idiom
give it a try                                      | idiom
give it another shot                               | idiom
give it your best shot                             | idiom
Give me a break                                    | idiom
give me a hand                                     | idiom
give me a hand with                                | idiom
give me a heads-up                                 | idiom
giving it a shot                                   | idiom
go a long way                                      | idiom
goes a long way                                    | idiom
goes above and beyond                              | idiom
goes the extra mile                                | idiom
going around in circles                            | idiom
going out of your way                              | idiom
going through a tough time                         | idiom
gone through the roof                              | idiom
got his act together                               | idiom
got it all covered                                 | idiom
got out of hand                                    | idiom
got the green light                                | idiom
got the hang of                                    | idiom
grab a bite                                        | idiom
grab a bite to eat                                 | idiom
growing on me                                      | idiom
had a hard time                                    | idiom
have a point                                       | idiom
have your back                                     | idiom
having second thoughts                             | idiom
held accountable for                               | idiom
his mind was racing                                | idiom
hit a few bumps                                    | idiom
hit it off                                         | idiom
hit it off with                                    | idiom
hit me out of nowhere                              | idiom
hit the ground running                             | idiom
hitting it off                                     | idiom
hold children accountable for                      | idiom
hold her tongue                                    | idiom
hold his horses                                    | idiom
hold it together                                   | idiom
hold them accountable for                          | idiom
Hold your horses                                   | idiom
Hold your tongue                                   | idiom
honesty is the best policy                         | idiom
in over our heads                                  | idiom
in over your head                                  | idiom
in the middle of nowhere                           | idiom
in the spotlight                                   | idiom
in the zone                                        | idiom
is on me                                           | idiom
juggle work and family                             | idiom
jump to conclusions                                | idiom
keep a low profile                                 | idiom
keep a straight face                               | idiom
keep an eye on                                     | idiom
keeping a low profile                              | idiom
keeping an eye on                                  | idiom
kept in the dark                                   | idiom
lay low                                            | idiom
let the cat out of the bag                         | idiom
long gone                                          | idiom
long shot                                          | idiom
look on the bright side                            | idiom
lose my mind                                       | idiom
lose track of time                                 | idiom
lost sleep                                         | idiom
made it                                            | idiom
made the right call                                | idiom
made your case                                     | idiom
make a big deal out of                             | idiom
make ends meet                                     | idiom
make up your mind                                  | idiom
makes all the difference                           | idiom
meet halfway                                       | idiom
moving the goalposts                               | idiom
nailed it                                          | idiom
night owl                                          | idiom
no-brainer                                         | idiom
not on the same page                               | idiom
off the beaten track                               | idiom
off the record                                     | idiom
on board                                           | idiom
on the fence about                                 | idiom
on the house                                       | idiom
on the right track                                 | idiom
on the same page about                             | idiom
on the same page as                                | idiom
on the tip of my tongue                            | idiom
on thin ice                                        | idiom
on your feet                                       | idiom
one step at a time                                 | idiom
only a matter of time                              | idiom
opened my eyes                                     | idiom
out of date                                        | idiom
out of my hands                                    | idiom
outside the box                                    | idiom
peace and quiet                                    | idiom
pick up the tab                                    | idiom
pick your brain                                    | idiom
plucked up the courage                             | idiom
pulled an all-nighter                              | idiom
pulling my leg                                     | idiom
pushing the envelope                               | idiom
put all your eggs in one basket                    | idiom
put yourself through                               | idiom
puts me at ease                                    | idiom
putting in a good word for                         | idiom
read the fine print                                | idiom
reading between the lines                          | idiom
see eye to eye                                     | idiom
set foot in                                        | idiom
shed some light on                                 | idiom
sleep on it                                        | idiom
speak for themselves                               | idiom
speaks for itself                                  | idiom
standing her ground                                | idiom
stay on track                                      | idiom
stay true to yourself                              | idiom
stayed up all night                                | idiom
staying up all night                               | idiom
stepped out of your comfort zone                   | idiom
stood her ground                                   | idiom
take a breather                                    | idiom
take a step back                                   | idiom
Take it from me                                    | idiom
Take it or leave it                                | idiom
take it with a grain of salt                       | idiom
take our health for granted                        | idiom
take things for granted                            | idiom
take your friends for granted                      | idiom
take your time                                     | idiom
taking him for granted                             | idiom
taking the blame                                   | idiom
talking to a wall                                  | idiom
tells a completely different story                 | idiom
tensions are running high                          | idiom
That's news to me                                  | idiom
the benefit of the doubt                           | idiom
the big picture                                    | idiom
the bigger picture                                 | idiom
the bottom line                                    | idiom
the end of the world                               | idiom
the glue that holds the team together              | idiom
The odds are against us                            | idiom
think on your feet                                 | idiom
thinking on her feet                               | idiom
thought twice                                      | idiom
throw the baby out with the bathwater              | idiom
too good to be true                                | idiom
took a deep breath                                 | idiom
took him a while                                   | idiom
turn back time                                     | idiom
up and running                                     | idiom
up at night                                        | idiom
up in the air                                      | idiom
wearing on her                                     | idiom
wearing on me                                      | idiom
went over budget                                   | idiom
where you're coming from                           | idiom
wiggle room                                        | idiom
wing it                                            | idiom
with a grain of salt                               | idiom
worth a shot                                       | idiom
wrapping his head around                           | idiom
acting up                                          | phrasalVerb
apologize for                                      | phrasalVerb
apologized for                                     | phrasalVerb
arrive in                                          | phrasalVerb
arrived in                                         | phrasalVerb
ask for                                            | phrasalVerb
asked for                                          | phrasalVerb
asking for                                         | phrasalVerb
back down                                          | phrasalVerb
back out                                           | phrasalVerb
back up                                            | phrasalVerb
backed down                                        | phrasalVerb
backed out                                         | phrasalVerb
backed up                                          | phrasalVerb
backing out                                        | phrasalVerb
backs down from                                    | phrasalVerb
bail you out                                       | phrasalVerb
been through                                       | phrasalVerb
believe in                                         | phrasalVerb
blow over                                          | phrasalVerb
blown out of proportion                            | phrasalVerb
booked up                                          | phrasalVerb
bounce back                                        | phrasalVerb
break free from                                    | phrasalVerb
Breaking free from                                 | phrasalVerb
breaking up                                        | phrasalVerb
bring a friend along                               | phrasalVerb
bring it up                                        | phrasalVerb
bring this up                                      | phrasalVerb
broke free from                                    | phrasalVerb
broke up                                           | phrasalVerb
brought it up                                      | phrasalVerb
brought that up                                    | phrasalVerb
brought this up                                    | phrasalVerb
brought up                                         | phrasalVerb
brush up on                                        | phrasalVerb
brushed up on                                      | phrasalVerb
burning out                                        | phrasalVerb
call ahead                                         | phrasalVerb
call him back                                      | phrasalVerb
call it                                            | phrasalVerb
called her back                                    | phrasalVerb
called it off                                      | phrasalVerb
called off                                         | phrasalVerb
came across                                        | phrasalVerb
came back                                          | phrasalVerb
came up                                            | phrasalVerb
came up with                                       | phrasalVerb
care about                                         | phrasalVerb
carried on                                         | phrasalVerb
catch up                                           | phrasalVerb
catch up with                                      | phrasalVerb
catches up with                                    | phrasalVerb
Catching up                                        | phrasalVerb
caught up                                          | phrasalVerb
caught up with                                     | phrasalVerb
check in                                           | phrasalVerb
check it out                                       | phrasalVerb
checked in at                                      | phrasalVerb
checking in                                        | phrasalVerb
checking out                                       | phrasalVerb
circle back                                        | phrasalVerb
circle back to                                     | phrasalVerb
circled back                                       | phrasalVerb
clear up                                           | phrasalVerb
cleared things up                                  | phrasalVerb
clears up                                          | phrasalVerb
come across                                        | phrasalVerb
come around                                        | phrasalVerb
come back                                          | phrasalVerb
come from                                          | phrasalVerb
come in                                            | phrasalVerb
come out                                           | phrasalVerb
come up with                                       | phrasalVerb
come with                                          | phrasalVerb
comes up                                           | phrasalVerb
comes with                                         | phrasalVerb
coming down with                                   | phrasalVerb
connect to                                         | phrasalVerb
cracking down on                                   | phrasalVerb
crash at                                           | phrasalVerb
cut back                                           | phrasalVerb
cut back on                                        | phrasalVerb
cut down on                                        | phrasalVerb
deal with                                          | phrasalVerb
dealing with                                       | phrasalVerb
dig in                                             | phrasalVerb
dig into                                           | phrasalVerb
don't get along                                    | phrasalVerb
doubled down                                       | phrasalVerb
dress up                                           | phrasalVerb
drifting toward                                    | phrasalVerb
drop it                                            | phrasalVerb
dropped by                                         | phrasalVerb
dropped out of                                     | phrasalVerb
dropping out of                                    | phrasalVerb
dug in                                             | phrasalVerb
dwelling on                                        | phrasalVerb
eat out                                            | phrasalVerb
eating out                                         | phrasalVerb
end up                                             | phrasalVerb
end up living                                      | phrasalVerb
end up skipping                                    | phrasalVerb
end up taking                                      | phrasalVerb
ended up                                           | phrasalVerb
ended up at                                        | phrasalVerb
ended up in                                        | phrasalVerb
fallen behind on                                   | phrasalVerb
falling apart                                      | phrasalVerb
falling behind on                                  | phrasalVerb
falls through                                      | phrasalVerb
feel like                                          | phrasalVerb
fell apart                                         | phrasalVerb
fell behind on                                     | phrasalVerb
felt like                                          | phrasalVerb
figure it out                                      | phrasalVerb
figure out                                         | phrasalVerb
figure this out                                    | phrasalVerb
figured it out                                     | phrasalVerb
figured out                                        | phrasalVerb
fill me in on                                      | phrasalVerb
find out                                           | phrasalVerb
fits perfectly                                     | phrasalVerb
follow up                                          | phrasalVerb
follow up on                                       | phrasalVerb
followed up on                                     | phrasalVerb
forgot about                                       | phrasalVerb
gave in to                                         | phrasalVerb
gave up                                            | phrasalVerb
gave up on                                         | phrasalVerb
get along with                                     | phrasalVerb
get away                                           | phrasalVerb
get back                                           | phrasalVerb
get back to you                                    | phrasalVerb
get going                                          | phrasalVerb
get into                                           | phrasalVerb
get mixed up in                                    | phrasalVerb
get through                                        | phrasalVerb
get through this                                   | phrasalVerb
gets away with                                     | phrasalVerb
getting into                                       | phrasalVerb
getting over                                       | phrasalVerb
Getting up                                         | phrasalVerb
give in                                            | phrasalVerb
give that up                                       | phrasalVerb
give up                                            | phrasalVerb
give up on                                         | phrasalVerb
giving up                                          | phrasalVerb
go ahead with                                      | phrasalVerb
go along with                                      | phrasalVerb
go out                                             | phrasalVerb
go over                                            | phrasalVerb
go with                                            | phrasalVerb
go wrong                                           | phrasalVerb
goes by                                            | phrasalVerb
goes down                                          | phrasalVerb
going ahead with                                   | phrasalVerb
going along with                                   | phrasalVerb
going back                                         | phrasalVerb
going on                                           | phrasalVerb
going out                                          | phrasalVerb
going over                                         | phrasalVerb
going through                                      | phrasalVerb
got around to it                                   | phrasalVerb
got back from                                      | phrasalVerb
got over                                           | phrasalVerb
gotten along                                       | phrasalVerb
gotten over                                        | phrasalVerb
grew up                                            | phrasalVerb
hand in                                            | phrasalVerb
hand it in                                         | phrasalVerb
hang out                                           | phrasalVerb
hanging out                                        | phrasalVerb
head into                                          | phrasalVerb
head out                                           | phrasalVerb
headed to                                          | phrasalVerb
heading to                                         | phrasalVerb
hear from                                          | phrasalVerb
